,HLT_adjOpen,MAR_adjOpen,IHG_adjOpen,BKNG_adjOpen,H_adjOpen,HLT_adjClose,MAR_adjClose,IHG_adjClose,BKNG_adjClose,H_adjClose
2014-01-02 00:00:00+00:00,44.9425032323,45.0773480813,19.9918107031,1159.97,48.2338164,44.1547469959,45.0129912719,19.836092585,1145.44,48.8706634579
2014-01-03 00:00:00+00:00,44.0335537288,45.0497665916,19.7821901595,1147.0,48.9882352224,44.4577301638,44.7279825445,19.7163094172,1132.68,48.7922822815
2014-01-06 00:00:00+00:00,44.4173324081,44.893471483,19.7103202588,1132.28,48.8804611049,44.4375312859,44.5441059461,19.6085045662,1139.53,48.4493646349
2014-01-07 00:00:00+00:00,44.4375312859,44.7279825445,19.7462552091,1146.82,48.5571387524,44.4375312859,44.7371763744,19.6923527836,1163.07,48.6453175758
2014-01-08 00:00:00+00:00,44.4981279195,44.8291146736,19.6923527836,1163.99,48.5375434583,44.4981279195,45.1692863805,19.6144937246,1157.5,48.9392469872
2014-01-09 00:00:00+00:00,44.4375312859,45.1692863805,19.5186671903,1157.95,49.0176281635,44.1749458738,45.0405727616,19.5426238239,1153.69,49.0568187517
2014-01-10 00:00:00+00:00,43.9527582173,45.1784802104,19.5725696158,1156.41,49.1645928692,43.8113660723,45.3071938292,19.7462552091,1148.84,48.9882352224
2014-01-13 00:00:00+00:00,43.5487806602,45.6289778763,19.5486129823,1142.57,48.9490446342,43.8719627059,44.8199208436,19.4947105568,1139.72,48.2534116941
2014-01-14 00:00:00+00:00,43.8517638281,44.8475023334,19.8001576346,1138.82,48.3513881645,44.6395200645,45.3623568087,19.9678540695,1159.21,48.8902587519
2014-01-15 00:00:00+00:00,44.5385256752,45.3807444686,19.8600492185,1160.1,49.0078305165,44.2557413852,45.8036606447,19.9319191192,1172.86,49.1547952221
2014-01-16 00:00:00+00:00,44.2355425073,45.8680174541,19.698341942,1170.52,49.0960093399,44.3567357745,46.4886009735,19.6803744669,1184.65,48.9882352224
2014-01-17 00:00:00+00:00,44.3567357745,46.2633521406,19.6803744669,1185.21,48.900056399,44.9425032323,46.5391670381,19.7402660507,1178.04,49.1743905162
2014-01-21 00:00:00+00:00,45.4676740566,47.2930610912,20.0696697621,1181.5,49.0568187517,44.2759402631,46.6954621466,20.0996155541,1205.95,49.1939858103
2014-01-22 00:00:00+00:00,44.4173324081,46.8977264048,20.3032469393,1207.99,49.3115575749,45.3666796673,47.0448276835,20.4110517903,1213.29,49.3213552219
2014-01-23 00:00:00+00:00,45.3060830338,46.5299732081,20.2613228306,1207.0,49.0470211047,45.7706572245,46.5023917184,20.2852794642,1208.86,48.9392469872
2014-01-24 00:00:00+00:00,45.1444920109,46.3093212901,20.1175830293,1195.0,48.9294493401,45.3464807895,45.7484976652,19.9678540695,1179.93,47.587171695
2014-01-27 00:00:00+00:00,45.3464807895,45.7393038353,19.8720275353,1181.07,47.80271993,44.4173324081,45.0957357411,19.5725696158,1143.24,46.7641693433
